iter	Passed	Remaining
0	124	124005
1	124	62223
2	125	41656
3	125	31326
4	126	25154
5	127	21053
6	127	18114
7	128	15901
8	128	14186
9	129	12813
10	129	11684
11	130	10750
12	131	9955
13	131	9280
14	132	8692
15	132	8177
16	133	7723
17	134	7315
18	134	6955
19	135	6631
20	136	6340
21	136	6071
22	137	5831
23	137	5606
24	138	5398
25	138	5207
26	139	5027
27	140	4860
28	140	4706
29	141	4561
30	141	4425
31	142	4305
32	143	4197
33	143	4087
34	144	3981
35	144	3882
36	145	3789
37	146	3704
38	146	3622
39	147	3545
40	148	3472
41	149	3401
42	149	3331
43	150	3265
44	150	3201
45	151	3140
46	151	3081
47	152	3028
48	153	2978
49	154	2928
50	154	2878
51	155	2830
52	155	2784
53	156	2740
54	156	2697
55	157	2656
56	158	2616
57	158	2578
58	159	2541
59	159	2505
60	160	2471
61	161	2438
62	161	2405
63	162	2375
64	163	2345
65	163	2315
66	164	2286
67	164	2257
68	165	2228
69	165	2201
70	166	2174
71	166	2148
72	167	2123
73	167	2100
74	168	2076
75	168	2053
76	169	2031
77	170	2009
78	170	1988
79	171	1966
80	171	1946
81	172	1926
82	172	1904
83	172	1886
84	173	1867
85	174	1850
86	174	1833
87	175	1817
88	175	1801
89	176	1786
90	177	1771
91	177	1756
92	178	1741
93	179	1727
94	179	1713
95	180	1701
96	181	1689
97	182	1677
98	182	1664
99	183	1652
100	184	1639
101	184	1627
102	185	1616
103	186	1607
104	187	1595
105	187	1585
106	188	1573
107	189	1562
108	189	1552
109	190	1542
110	191	1532
111	192	1522
112	192	1513
113	193	1503
114	194	1493
115	194	1484
116	195	1473
117	195	1464
118	196	1456
119	197	1446
120	197	1437
121	198	1429
122	199	1420
123	199	1411
124	200	1403
125	201	1394
126	201	1385
127	202	1377
128	202	1369
129	203	1361
130	204	1353
131	204	1346
132	205	1338
133	205	1330
134	206	1322
135	206	1314
136	207	1306
137	208	1300
138	209	1294
139	209	1288
140	210	1282
141	210	1274
142	211	1267
143	212	1260
144	212	1253
145	213	1247
146	213	1241
147	214	1235
148	215	1228
149	215	1222
150	216	1216
151	216	1210
152	217	1204
153	218	1198
154	218	1193
155	219	1188
156	220	1183
157	221	1177
158	221	1172
159	222	1166
160	222	1160
161	223	1154
162	223	1148
163	224	1143
164	225	1139
165	225	1133
166	226	1128
167	226	1123
168	227	1118
169	228	1114
170	228	1109
171	229	1104
172	230	1100
173	230	1095
174	231	1090
175	231	1085
176	232	1081
177	233	1076
178	233	1072
179	234	1067
180	234	1063
181	235	1059
182	236	1055
183	236	1050
184	237	1046
185	238	1041
186	238	1037
187	239	1033
188	239	1028
189	240	1024
190	241	1020
191	241	1016
192	242	1012
193	242	1008
194	243	1004
195	243	1000
196	244	996
197	245	992
198	245	988
199	246	985
200	247	981
201	247	978
202	248	974
203	248	970
204	249	967
205	249	963
206	250	959
207	251	956
208	251	952
209	252	949
210	252	945
211	253	942
212	254	938
213	254	935
214	255	932
215	255	928
216	256	925
217	257	922
218	257	920
219	258	916
220	259	913
221	259	910
222	260	906
223	260	903
224	261	900
225	262	897
226	262	894
227	263	891
228	263	888
229	264	885
230	264	882
231	265	879
232	266	876
233	266	872
234	267	869
235	267	866
236	268	863
237	268	860
238	269	857
239	270	855
240	270	852
241	271	849
242	271	846
243	272	844
244	273	841
245	273	838
246	274	836
247	274	833
248	275	830
249	276	828
250	276	825
251	277	822
252	277	820
253	278	817
254	279	815
255	279	812
256	280	810
257	281	808
258	281	806
259	282	803
260	282	801
261	283	798
262	284	796
263	284	793
264	285	791
265	285	788
266	286	786
267	287	784
268	287	782
269	288	779
270	289	777
271	289	775
272	290	773
273	291	771
274	291	768
275	292	766
276	292	764
277	293	762
278	294	760
279	294	757
280	295	755
281	296	753
282	296	751
283	297	749
284	297	747
285	298	745
286	299	743
287	299	741
288	300	739
289	301	737
290	301	735
291	302	733
292	303	731
293	304	730
294	304	728
295	305	726
296	305	724
297	306	722
298	307	720
299	308	718
300	308	716
301	309	714
302	309	712
303	310	710
304	310	708
305	311	706
306	312	704
307	312	702
308	313	701
309	314	698
310	314	697
311	315	695
312	315	693
313	316	691
314	316	689
315	317	687
316	318	685
317	318	683
318	319	681
319	319	679
320	320	677
321	320	675
322	321	674
323	322	672
324	322	670
325	323	668
326	324	666
327	324	664
328	325	663
329	325	661
330	326	659
331	326	657
332	327	655
333	327	653
334	328	651
335	328	650
336	329	648
337	330	646
338	330	645
339	331	643
340	331	641
341	332	639
342	332	637
343	333	635
344	334	634
345	334	632
346	335	630
347	335	629
348	336	627
349	337	625
350	337	624
351	338	622
352	338	621
353	339	619
354	340	618
355	340	616
356	341	614
357	342	613
358	342	611
359	343	610
360	344	608
361	344	607
362	345	605
363	345	604
364	346	602
365	347	601
366	347	599
367	348	598
368	348	596
369	349	595
370	350	593
371	350	592
372	351	591
373	352	589
374	352	588
375	353	586
376	354	584
377	354	583
378	355	581
379	355	580
380	356	579
381	357	577
382	358	576
383	358	575
384	359	574
385	360	572
386	360	571
387	361	569
388	361	568
389	362	567
390	363	565
391	363	564
392	364	562
393	364	561
394	365	559
395	366	558
396	366	556
397	367	555
398	368	554
399	368	553
400	369	551
401	370	550
402	370	549
403	371	547
404	372	546
405	372	545
406	373	544
407	374	542
408	374	541
409	375	540
410	376	538
411	376	537
412	377	536
413	378	535
414	378	533
415	379	532
416	380	531
417	380	530
418	381	528
419	382	527
420	382	526
421	383	525
422	384	524
423	385	523
424	385	521
425	386	520
426	387	519
427	387	518
428	388	517
429	389	515
430	389	514
431	390	513
432	391	512
433	391	510
434	392	509
435	392	508
436	393	506
437	394	505
438	394	504
439	395	503
440	395	501
441	396	500
442	397	499
443	397	498
444	398	496
445	398	495
446	399	494
447	400	493
448	400	491
449	401	490
450	402	489
451	402	488
452	403	486
453	403	485
454	404	484
455	405	483
456	405	482
457	406	480
458	407	479
459	407	478
460	408	477
461	408	476
462	409	474
463	409	473
464	410	472
465	411	471
466	411	470
467	412	469
468	413	467
469	413	466
470	414	465
471	415	464
472	415	463
473	416	462
474	416	460
475	417	459
476	418	458
477	418	457
478	419	456
479	420	455
480	420	453
481	421	452
482	422	451
483	422	450
484	423	449
485	423	448
486	424	447
487	425	446
488	425	445
489	426	443
490	427	443
491	428	441
492	428	440
493	429	439
494	430	438
495	430	437
496	431	436
497	431	435
498	432	433
499	432	432
500	433	431
501	433	430
502	434	429
503	435	428
504	435	427
505	436	425
506	436	424
507	437	423
508	438	422
509	438	421
510	439	420
511	439	419
512	440	418
513	440	416
514	441	415
515	442	414
516	442	413
517	443	412
518	443	411
519	444	410
520	445	409
521	445	408
522	446	407
523	447	406
524	447	405
525	448	403
526	448	402
527	449	401
528	450	400
529	450	399
530	451	398
531	452	397
532	452	396
533	453	395
534	454	394
535	454	393
536	455	392
537	456	391
538	456	390
539	457	389
540	458	388
541	458	387
542	459	386
543	460	385
544	460	384
545	461	383
546	462	382
547	462	381
548	463	380
549	464	379
550	464	378
551	465	377
552	466	376
553	466	375
554	467	374
555	468	373
556	468	372
557	469	371
558	470	370
559	470	369
560	471	368
561	471	367
562	472	366
563	473	365
564	473	364
565	474	363
566	475	362
567	475	361
568	476	360
569	476	359
570	477	358
571	478	357
572	478	356
573	479	355
574	480	354
575	480	353
576	481	352
577	481	351
578	482	350
579	483	349
580	483	348
581	484	347
582	484	346
583	485	345
584	486	344
585	486	343
586	487	342
587	487	341
588	488	340
589	488	339
590	489	338
591	490	337
592	490	336
593	491	335
594	491	334
595	492	333
596	492	332
597	493	331
598	494	330
599	494	329
600	495	328
601	495	327
602	496	326
603	497	325
604	497	325
605	498	324
606	499	323
607	500	322
608	500	321
609	501	320
610	502	319
611	502	318
612	503	317
613	503	316
614	504	315
615	505	314
616	505	314
617	506	313
618	507	312
619	507	311
620	508	310
621	509	309
622	509	308
623	510	307
624	511	306
625	511	305
626	512	304
627	513	303
628	513	302
629	514	302
630	514	301
631	515	300
632	516	299
633	516	298
634	517	297
635	518	296
636	518	295
637	519	294
638	520	293
639	520	292
640	521	292
641	522	291
642	522	290
643	523	289
644	524	288
645	524	287
646	525	286
647	526	285
648	527	285
649	527	284
650	528	283
651	528	282
652	529	281
653	530	280
654	530	279
655	531	278
656	531	277
657	532	276
658	533	275
659	533	275
660	534	274
661	535	273
662	535	272
663	536	271
664	537	270
665	537	269
666	538	268
667	539	267
668	539	267
669	540	266
670	540	265
671	541	264
672	542	263
673	542	262
674	543	261
675	544	260
676	544	259
677	545	259
678	546	258
679	546	257
680	547	256
681	548	255
682	548	254
683	549	253
684	549	252
685	550	251
686	551	251
687	551	250
688	552	249
689	552	248
690	553	247
691	554	246
692	554	245
693	555	244
694	556	244
695	556	243
696	557	242
697	557	241
698	558	240
699	559	239
700	559	238
701	560	237
702	561	237
703	561	236
704	562	235
705	562	234
706	563	233
707	564	232
708	564	231
709	565	230
710	565	230
711	566	229
712	567	228
713	567	227
714	568	226
715	568	225
716	569	224
717	570	223
718	570	223
719	571	222
720	572	221
721	572	220
722	573	219
723	573	218
724	574	217
725	575	217
726	575	216
727	576	215
728	576	214
729	577	213
730	578	212
731	578	211
732	579	211
733	579	210
734	580	209
735	580	208
736	581	207
737	582	206
738	582	205
739	583	204
740	584	204
741	584	203
742	585	202
743	585	201
744	586	200
745	587	199
746	587	199
747	588	198
748	589	197
749	590	196
750	590	195
751	591	194
752	591	194
753	592	193
754	593	192
755	593	191
756	594	190
757	594	189
758	595	189
759	596	188
760	596	187
761	597	186
762	598	185
763	598	184
764	599	184
765	600	183
766	600	182
767	601	181
768	601	180
769	602	179
770	603	179
771	603	178
772	604	177
773	605	176
774	605	175
775	606	175
776	607	174
777	607	173
778	608	172
779	608	171
780	609	170
781	610	170
782	610	169
783	611	168
784	612	167
785	612	166
786	613	165
787	613	165
788	614	164
789	615	163
790	615	162
791	616	161
792	617	161
793	618	160
794	618	159
795	619	158
796	620	157
797	620	157
798	621	156
799	622	155
800	622	154
801	623	153
802	624	153
803	624	152
804	625	151
805	626	150
806	626	149
807	627	149
808	628	148
809	628	147
810	629	146
811	630	145
812	630	145
813	631	144
814	631	143
815	632	142
816	633	141
817	633	140
818	634	140
819	634	139
820	635	138
821	635	137
822	636	136
823	637	136
824	637	135
825	638	134
826	638	133
827	639	132
828	640	132
829	640	131
830	641	130
831	641	129
832	642	128
833	643	128
834	643	127
835	644	126
836	645	125
837	645	124
838	646	124
839	646	123
840	647	122
841	647	121
842	648	120
843	649	119
844	649	119
845	650	118
846	650	117
847	651	116
848	652	115
849	652	115
850	653	114
851	654	113
852	654	112
853	655	112
854	655	111
855	656	110
856	657	109
857	657	108
858	658	108
859	659	107
860	659	106
861	660	105
862	661	104
863	661	104
864	662	103
865	662	102
866	663	101
867	664	100
868	664	100
869	665	99
870	666	98
871	666	97
872	667	97
873	668	96
874	668	95
875	669	94
876	670	93
877	670	93
878	671	92
879	672	91
880	672	90
881	673	90
882	674	89
883	674	88
884	675	87
885	676	86
886	676	86
887	677	85
888	677	84
889	678	83
890	679	83
891	679	82
892	680	81
893	681	80
894	681	79
895	682	79
896	682	78
897	683	77
898	684	76
899	684	76
900	685	75
901	686	74
902	686	73
903	687	73
904	688	72
905	688	71
906	689	70
907	690	69
908	690	69
909	691	68
910	691	67
911	692	66
912	693	66
913	693	65
914	694	64
915	694	63
916	695	62
917	696	62
918	696	61
919	697	60
920	698	59
921	698	59
922	699	58
923	700	57
924	700	56
925	701	56
926	702	55
927	702	54
928	703	53
929	703	52
930	704	52
931	705	51
932	705	50
933	706	49
934	707	49
935	707	48
936	708	47
937	709	46
938	709	46
939	710	45
940	710	44
941	711	43
942	712	43
943	712	42
944	713	41
945	713	40
946	714	39
947	714	39
948	715	38
949	716	37
950	716	36
951	717	36
952	717	35
953	718	34
954	718	33
955	719	33
956	720	32
957	720	31
958	721	30
959	721	30
960	722	29
961	723	28
962	723	27
963	724	27
964	724	26
965	725	25
966	726	24
967	726	24
968	727	23
969	727	22
970	728	21
971	728	20
972	729	20
973	729	19
974	730	18
975	731	17
976	731	17
977	732	16
978	732	15
979	733	14
980	733	14
981	734	13
982	734	12
983	735	11
984	735	11
985	736	10
986	737	9
987	737	8
988	738	8
989	738	7
990	739	6
991	739	5
992	740	5
993	740	4
994	741	3
995	741	2
996	742	2
997	742	1
998	743	0
999	743	0
